map center: 39.563353,-118.586426
station 	lat,long 	x,y
p343 	40.88713,-123.33421	168,342
p393 	43.2345,-117.89204	663,54
p463 	36.02247,-117.16467	729,908
p465 	36.46683,-118.13243	641,858
p466 	36.53125,-117.78946	673,851
p468 	36.97568,-118.11836	643,800
p469 	37.23142,-117.93581	659,771
p475 	32.6664,-117.24393	722,1278
p487 	33.21353,-116.18307	819,1219
p488 	33.20102,-116.07881	828,1220
p489 	33.29621,-116.11161	825,1210
p492 	32.88705,-115.96945	838,1254
p503 	32.94892,-115.72018	861,1247
p513 	34.90726,-120.65017	412,1033
p519 	34.50781,-119.79244	490,1077
p524 	35.16608,-120.5909	418,1004
p531 	35.79269,-120.5366	422,934
p534 	37.06123,-122.23761	268,790
p535 	35.23513,-120.10142	462,996
p549 	34.5996,-119.32634	533,1067
p550 	34.66008,-119.11462	552,1060
p564 	35.62291,-119.34939	531,953
p568 	35.25431,-118.12651	642,994
p569 	35.37797,-118.12377	642,980
p570 	35.66735,-118.26004	630,948
p580 	35.62095,-117.19223	727,953
p585 	34.01935,-116.54575	786,1131
p592 	35.23855,-117.30323	717,996
p593 	35.38787,-117.20506	726,979
p597 	35.7106,-116.8884	755,943
p598 	34.19246,-116.71027	771,1112
p609 	34.06269,-116.89282	754,1126
p613 	34.19619,-117.04996	740,1111
p614 	34.73179,-115.25026	904,1052
p616 	35.42456,-117.89333	663,975
p625 	34.84444,-114.96514	930,1040
p627 	37.9731,-118.37852	619,686
p628 	37.93423,-119.24935	540,690
p630 	37.61304,-119.00044	562,727
p634 	37.69659,-119.02578	560,718
p635 	37.83931,-119.13799	550,701
p636 	37.96277,-119.14671	549,687
p640 	37.89174,-118.96041	566,695
p643 	37.56155,-118.69816	590,733
p644 	37.49539,-118.6844	591,741
p646 	37.67703,-118.81999	579,720
p649 	37.90346,-118.73623	586,694
p650 	37.89128,-118.5549	603,695
p651 	37.56311,-118.38698	618,733
p652 	37.58916,-118.23845	632,730
p653 	37.7375,-118.47166	610,713
p656 	41.34484,-122.19584	271,287
p657 	41.38124,-122.29385	263,282
p658 	41.47918,-122.19091	272,271
